Unique_Tag,Tree,Distance,Transect,Tag,Species_23,X,Y,ST_21,HT_21,Notes_21,Sumbission.Id_2021,ST_22,HT_22,Notes_2022,Quad_Notes_2022,Submission.Id_2023,Status_2022,Height_2022,Notes_22,ST_23,HT_23,Notes_2023
191191_240_2.81,191191,2,240,81,BETSP,20,25,A,2,No tag,5ad395ef-2559-4699-9fc7-34439a0d6e95,A,2.5,NA,951ab20d-6c3d-4f5d-a5ed-3b0b491320cd,bca2c2b6-a37c-41a6-b992-5f51b29fd0a7,A,2.5,NA,D,NA,NA
070864_240_6.117,70864,6,240,117,TSUCAN,16,32,P,NA,NA,NA,A,2.5,NA,d8af8a78-0c61-41f0-8d3c-38d0c69351eb,b3b2b9f6-8a12-40bd-84f3-4f4a90ea86d8,A,2.5,NA,A,3,NA
070864_240_6.116,70864,6,240,116,TSUCAN,15,32,P,NA,NA,NA,A,2.5,NA,d8af8a78-0c61-41f0-8d3c-38d0c69351eb,b3b2b9f6-8a12-40bd-84f3-4f4a90ea86d8,A,2.5,NA,A,4,NA
101052_240_6.103,101052,6,240,103,TSUCAN,11,89,P,NA,NA,NA,A,2.5,No tag,ccdf97d3-c18d-4539-9bd5-12f96a15a713,a2034f71-b36b-42de-bf05-9c55322876ba,A,2.5,No tag,A,3.5,NA
040979_240_6.101,40979,6,240,101,BETSP,9,40,P,NA,NA,NA,A,2.5,"Betsp, no tag",0572c4e5-049f-484f-8ace-bc9874d1fbe5,53c5a560-1757-494f-b51b-5f34906678fc,A,2.5,"Betsp, no tag",A,3,NA
051094_120_6.70,51094,6,120,70,TSUCAN,9,88,A,2,NA,1e4a266c-7d87-4c43-af86-876659f249a2,A,2.5,NA,48856252-e40b-42f0-9f40-6ce0b74622c5,b8b10a00-f8e4-49af-bbe5-06fdb20fc60b,A,2.5,NA,D,NA,NA
091572_0_2.103,91572,2,0,103,BETSP,99,18,P,NA,NA,NA,A,3,NA,ab4089d1-6bfa-4cd3-8119-d224394ef507,2b7d626e-52b6-458a-a199-01d481de030f,A,3,NA,CFS,NA,NA
191191_240_6.101,191191,6,240,101,BETSP,98,3,P,NA,NA,NA,A,3,No tag,275d9666-cfc4-475e-90f4-4264e3b072fb,fbc13b86-74e1-4f94-96c9-4bbb15937168,A,3,No tag,D,NA,NA
"072196_120_2.109,1",72196,2,120,"109,1",ACERUB,97,19,P,NA,NA,NA,A,3,NA,8f688338-47c0-4a61-9a0b-d26d71ca9135,ec76770e-085a-4e4f-ba8a-eb0bdf6b5a9d,A,6,NA,D,NA,Other 109 check so from 2022.
291578_120_2.51,291578,2,120,51,ACERUB,90,50,A,4,NA,09d5893a-db4f-46e8-ab70-aabb9f4c6448,A,3,NA,b0d6670b-e79c-4705-9cbb-f4306d145a6f,51ba68d3-018f-4d59-94c8-76c33a9d25ec,A,3,NA,CFS,NA,NA
031421_120_6.102,31421,6,120,102,TSUCAN,90,9,P,NA,NA,NA,A,3,NA,8784e690-a7cb-4dda-ad60-7a63a89ca3b0,265a56d3-f906-48f5-8709-164978c678e9,A,3,NA,A,3.5,NA
091128_0_2.93,91128,2,0,93,ACERUB,88,20,A,3,NA,b5b1808a-457e-456f-84e6-afe2cd418896,A,3,NA,6ed23d5f-46eb-44e5-bb17-f3001be1b617,907cd501-bcde-4318-840f-1084fb643c9b,A,3,NA,D,NA,NA
072196_120_2.30,72196,2,120,30,BETSP,88,85,A,2,NA,87812726-83e4-4783-99ab-6737fe8b9903,A,3,NA,8f688338-47c0-4a61-9a0b-d26d71ca9135,ec76770e-085a-4e4f-ba8a-eb0bdf6b5a9d,A,3,NA,CFS,NA,NA
051094_0_2.44,51094,2,0,44,TSUCAN,82,2,A,2,NA,13523dcd-1bc9-456b-bebe-3baf6acfd919,A,3,NA,4fe1c4c3-da4f-437a-9e7d-e2443254922f,903cb34f-3a4a-4b35-83bf-533c36bbd1c5,A,3,NA,D,NA,NA
051094_0_2.79,51094,2,0,79,TSUCAN,77,78,A,4,NA,13523dcd-1bc9-456b-bebe-3baf6acfd919,A,3,NA,4fe1c4c3-da4f-437a-9e7d-e2443254922f,903cb34f-3a4a-4b35-83bf-533c36bbd1c5,A,3,NA,A,6.5,NA
021048_240_6.30,21048,6,240,30,TSUCAN,75,38,A,2,NA,b26079be-4e86-48f8-bdca-3ffd690d4701,A,3,No tag,94e97c8a-8c1d-4e89-a260-a467cf5278ad,8790dd1a-b1fa-4d00-884f-f265937e17b6,A,3,No tag,D,NA,NA
072196_120_2.101,72196,2,120,101,TSUCAN,71,84,P,NA,NA,NA,A,3,NA,8f688338-47c0-4a61-9a0b-d26d71ca9135,ec76770e-085a-4e4f-ba8a-eb0bdf6b5a9d,A,3,NA,A,3.5,NA
072196_120_6.19,72196,6,120,19,ACERUB,70,72,A,7,NA,f7f44762-5d02-41ac-8b33-4869fa3a0b53,A,3,Broken,c1dbf75b-3d03-4d6b-a555-53586d8c9347,c7d14801-d8fc-454f-a369-1d168bc1fc6d,A,3,Broken,CFS,NA,NA
291578_240_2.103,291578,2,240,103,ACERUB,60,6,P,NA,NA,NA,A,3,Miss ‘21,95d86f85-a6bc-4c50-ba0b-cce5d1179742,547ffdee-9c45-4323-804d-bcf462231d79,A,3,Miss ‘21,A,4,NA
081561_240_6.53,81561,6,240,53,TSUCAN,60,58,A,3,NA,395a1968-70b1-4c8b-862d-94ce73484bab,A,3,NA,64ffc59f-cfcd-445b-b375-07f7c31cc014,e88adfdc-9e26-4841-9bbd-f43d3bc05c61,A,3,NA,CFS,NA,NA
101052_120_2.53,101052,2,120,53,TSUCAN,57,5,A,3,NA,7c02494d-8de9-4d40-8903-9a81e7ecc225,A,3,NA,05066295-45e7-428a-99e3-5372ffe2fcb6,8f064888-c88c-470e-ac2b-768489cf93af,A,3,NA,CFS,NA,NA
091128_240_2.104,91128,2,240,104,TSUCAN,55,55,P,NA,NA,NA,A,3,NA,b502635d-8a39-4284-8b7a-e36813fcbb23,9281609b-2c2f-458f-8155-0486c4353528,A,3,NA,A,3,NA
040979_120_2.108,40979,2,120,108,TSUCAN,52,62,P,NA,NA,NA,A,3,NA,f37f6c3f-6696-446e-861d-b5ee7f13f115,da694891-3c7c-4217-bd07-dd91ca2b6f33,A,3,NA,D,NA,NA
050958_120_2.69,50958,2,120,69,TSUCAN,52,60,A,2,NA,c790d48a-ecaa-4668-a454-c8c57ab8c476,A,3,NA,6fe59555-ca96-4684-9961-1e4cf6944b5e,a842e346-4384-48f3-8da9-41b2548b9093,A,3,NA,A,5.5,NA
321916_240_6.26,321916,6,240,26,ACERUB,50,10,A,3,NA,8655163e-6b29-4d35-be55-10423603d619,A,3,NA,32165df0-c73d-402e-af64-11252efce767,2736f5d5-83b2-4cf5-a0aa-30fbb2e83cc8,A,3,NA,CFS,NA,NA
040979_120_2.102,40979,2,120,102,BETSP,45,90,P,NA,NA,NA,A,3,BETSP,f37f6c3f-6696-446e-861d-b5ee7f13f115,da694891-3c7c-4217-bd07-dd91ca2b6f33,A,3,BETSP,D,NA,NA
051094_0_2.61,51094,2,0,61,TSUCAN,43,74,A,3,NA,13523dcd-1bc9-456b-bebe-3baf6acfd919,A,3,NA,4fe1c4c3-da4f-437a-9e7d-e2443254922f,903cb34f-3a4a-4b35-83bf-533c36bbd1c5,A,3,NA,A,4.5,NA
072196_120_2.102,72196,2,120,102,BETSP,40,85,P,NA,NA,NA,A,3,NA,8f688338-47c0-4a61-9a0b-d26d71ca9135,ec76770e-085a-4e4f-ba8a-eb0bdf6b5a9d,A,3,NA,A,5,NA
030043_0_2.101,30043,2,0,101,QUERUB,40,19,P,NA,NA,NA,A,3,"Annual, but tagged",3a49cd66-b2f9-4360-a43b-e4a257957113,88af785a-6e31-4949-9878-1d2713826cd6,A,3,"Annual, but tagged",D,NA,NA
091128_0_2.105,91128,2,0,105,TSUCAN,40,50,P,NA,NA,NA,A,3,NA,6ed23d5f-46eb-44e5-bb17-f3001be1b617,907cd501-bcde-4318-840f-1084fb643c9b,A,3,NA,D,NA,NA
091128_240_2.103,91128,2,240,103,TSUCAN,40,12,P,NA,NA,NA,A,3,NA,b502635d-8a39-4284-8b7a-e36813fcbb23,9281609b-2c2f-458f-8155-0486c4353528,A,3,NA,D,NA,NA
352237_240_2.102,352237,2,240,102,PINSTR,38,59,P,NA,NA,NA,A,3,NA,2c15fa71-a942-4bf9-a0f7-d6a47a1c09ad,c3c9d5d1-12ac-41b5-acd4-c9b5ed39fe47,A,3,NA,CFS,NA,NA
051094_0_2.28,51094,2,0,28,TSUCAN,38,97,A,2,NA,13523dcd-1bc9-456b-bebe-3baf6acfd919,A,3,NA,4fe1c4c3-da4f-437a-9e7d-e2443254922f,903cb34f-3a4a-4b35-83bf-533c36bbd1c5,A,3,NA,D,NA,NA
051094_0_2.12,51094,2,0,12,TSUCAN,37,96,A,2,NA,13523dcd-1bc9-456b-bebe-3baf6acfd919,A,3,NA,4fe1c4c3-da4f-437a-9e7d-e2443254922f,903cb34f-3a4a-4b35-83bf-533c36bbd1c5,A,3,NA,A,3.5,NA
051094_0_2.15,51094,2,0,15,TSUCAN,34,90,A,2,NA,13523dcd-1bc9-456b-bebe-3baf6acfd919,A,3,NA,4fe1c4c3-da4f-437a-9e7d-e2443254922f,903cb34f-3a4a-4b35-83bf-533c36bbd1c5,A,3,NA,A,3,NA
