"","num_to_ht","num_needed","min_time_to_ht","med_time_to_ht","species","canopy","trial"
"220",0,Inf,NA,NA,5,2,22
"221",1,1000,31,33,1,1,23
"222",4,250,22,41,1,2,23
"223",7,142.857142857143,14,22,2,1,23
"224",152,6.57894736842105,11,28,2,2,23
"225",0,Inf,NA,NA,3,1,23
"226",26,38.4615384615385,14,26,3,2,23
"227",0,Inf,NA,NA,4,1,23
"228",0,Inf,NA,NA,4,2,23
"229",0,Inf,NA,NA,5,1,23
"230",0,Inf,NA,NA,5,2,23
"231",2,500,33,46,1,1,24
"232",5,200,19,38,1,2,24
"233",3,333.333333333333,20,22.5,2,1,24
"234",152,6.57894736842105,12,29,2,2,24
"235",0,Inf,NA,NA,3,1,24
"236",15,66.6666666666667,16,27,3,2,24
"237",0,Inf,NA,NA,4,1,24
"238",3,333.333333333333,14,20,4,2,24
"239",0,Inf,NA,NA,5,1,24
"240",1,1000,35,36,5,2,24
"241",0,Inf,NA,NA,1,1,25
"242",5,200,26,45,1,2,25
"243",5,200,17,26,2,1,25
"244",136,7.35294117647059,12,29,2,2,25
"245",0,Inf,NA,NA,3,1,25
"246",20,50,16,27,3,2,25
"247",0,Inf,NA,NA,4,1,25
"248",2,500,23,29,4,2,25
"249",0,Inf,NA,NA,5,1,25
"250",1,1000,42,44,5,2,25
"251",1,1000,43,44,1,1,26
"252",4,250,17,33.5,1,2,26
"253",6,166.666666666667,16,22,2,1,26
"254",155,6.45161290322581,12,29,2,2,26
"255",0,Inf,NA,NA,3,1,26
"256",13,76.9230769230769,14,24.5,3,2,26
"257",0,Inf,NA,NA,4,1,26
"258",7,142.857142857143,16,19.5,4,2,26
"259",0,Inf,NA,NA,5,1,26
"260",1,1000,30,39,5,2,26
"261",3,333.333333333333,22,37,1,1,27
"262",7,142.857142857143,17,43,1,2,27
"263",8,125,13,19,2,1,27
"264",150,6.66666666666667,12,28,2,2,27
"265",1,1000,21,24,3,1,27
"266",31,32.258064516129,13,25,3,2,27
"267",0,Inf,NA,NA,4,1,27
"268",1,1000,19,24,4,2,27
"269",0,Inf,NA,NA,5,1,27
"270",1,1000,29,40,5,2,27
"271",0,Inf,NA,NA,1,1,28
"272",1,1000,18,18.5,1,2,28
"273",5,200,15,21,2,1,28
"274",133,7.5187969924812,11,29,2,2,28
"275",0,Inf,NA,NA,3,1,28
"276",13,76.9230769230769,17,25,3,2,28
"277",0,Inf,NA,NA,4,1,28
"278",4,250,19,23,4,2,28
"279",0,Inf,NA,NA,5,1,28
"280",2,500,32,36.5,5,2,28
"281",1,1000,31,31,1,1,29
"282",1,1000,40,41.5,1,2,29
"283",7,142.857142857143,12,21,2,1,29
"284",148,6.75675675675676,10,28,2,2,29
"285",0,Inf,NA,NA,3,1,29
"286",14,71.4285714285714,18,23,3,2,29
"287",0,Inf,NA,NA,4,1,29
"288",1,1000,18,18,4,2,29
"289",0,Inf,NA,NA,5,1,29
"290",3,333.333333333333,26,36,5,2,29
"291",2,500,31,34,1,1,30
"292",3,333.333333333333,29,33,1,2,30
"293",6,166.666666666667,15,22,2,1,30
"294",144,6.94444444444444,12,29,2,2,30
"295",0,Inf,NA,NA,3,1,30
"296",19,52.6315789473684,14,25,3,2,30
"297",0,Inf,NA,NA,4,1,30
"298",1,1000,17,18.5,4,2,30
"299",1,1000,47,50,5,1,30
"300",2,500,27,30,5,2,30
"301",2,500,40,43.5,1,1,31
"302",8,125,20,29,1,2,31
"303",5,200,15,23,2,1,31
"304",160,6.25,11,28,2,2,31
"305",0,Inf,NA,NA,3,1,31
"306",12,83.3333333333333,18,24,3,2,31
"307",0,Inf,NA,NA,4,1,31
"308",2,500,16,20,4,2,31
"309",0,Inf,NA,NA,5,1,31
"310",2,500,37,49,5,2,31
"311",2,500,22,29.5,1,1,32
"312",7,142.857142857143,21,45,1,2,32
"313",6,166.666666666667,14,21,2,1,32
"314",146,6.84931506849315,12,30,2,2,32
"315",0,Inf,NA,NA,3,1,32
"316",15,66.6666666666667,17,26,3,2,32
"317",0,Inf,NA,NA,4,1,32
"318",1,1000,19,23,4,2,32
"319",0,Inf,NA,NA,5,1,32
"320",2,500,29,33,5,2,32
"321",3,333.333333333333,22,29,1,1,33
"322",3,333.333333333333,21,36,1,2,33
"323",4,250,14,22,2,1,33
"324",174,5.74712643678161,10,30,2,2,33
"325",0,Inf,NA,NA,3,1,33
"326",20,50,16,25,3,2,33
"327",0,Inf,NA,NA,4,1,33
"328",1,1000,18,18.5,4,2,33
"329",1,1000,59,64.5,5,1,33
"330",3,333.333333333333,31,35,5,2,33
"331",2,500,29,46.5,1,1,34
"332",5,200,17,27,1,2,34
"333",2,500,18,18.5,2,1,34
"334",141,7.09219858156028,11,28,2,2,34
"335",0,Inf,NA,NA,3,1,34
